first_name,last_name,age,email,country,postal_code,favorite_color,gender,birthdate,height,interests,intent,Latitude,Longitude
Chelsae,Rillett,18,crillett0@cbsnews.com,Australia,1694,red,Female,2/2/2001,193.87,hiking,fun,-34.8352742,138.596204
Agathe,Credland,71,acredland1@princeton.edu,Australia,7904,red,Female,2/14/1998,171.36,reading,fun,-41.4332215,147.1440875
Chester,Faccini,68,cfaccini2@biglobe.ne.jp,Australia,7916,green,Male,5/3/1988,164.14,traveling,marriage,-41.4332215,147.1440875
Kerby,Jordine,42,kjordine3@seattletimes.com,Australia,8045,green,Male,1/6/1986,153.22,reading,marriage,-37.8136276,144.9630576
Gertrude,Philps,37,gphilps4@wp.com,Australia,1134,red,Female,6/4/2000,162.1,traveling,marriage,-33.7974423,151.2502275
Galvan,Lassell,39,glassell5@cornell.edu,Australia,1140,green,Male,6/28/1991,198.2,reading,fun,-27.9424308,153.3970962
Torie,House,35,thouse6@simplemachines.org,Australia,9010,green,Female,12/6/1998,181.95,reading,marriage,-27.4697707,153.0251235
Noble,Dowe,82,ndowe7@hud.gov,Australia,5899,red,Male,4/23/1990,140.74,reading,marriage,-34.990888,138.574391
Ernestus,Manwaring,68,emanwaring8@salon.com,Australia,7803,red,Male,1/6/1996,152.95,reading,fun,-42.8821377,147.3271949
Elton,Begwell,20,ebegwell9@slashdot.org,Australia,1171,red,Male,11/23/1997,189.91,traveling,fun,-33.863927,151.201887
Leodora,Harrie,46,lharriea@house.gov,Australia,6817,blue,Female,6/15/2002,188.39,traveling,marriage,-31.9505269,115.8604572
Barrie,Devil,46,bdevilb@purevolume.com,Australia,1391,blue,Female,3/3/1990,183.67,traveling,fun,-33.93274,151.188577
Carl,Geffe,36,cgeffec@columbia.edu,Australia,7916,blue,Male,9/16/1999,146.45,cooking,fun,-41.4332215,147.1440875
Hughie,Sands-Allan,19,hsandsalland@sfgate.com,Australia,8383,red,Male,9/27/1988,146.62,reading,fun,-37.8136276,144.9630576
Giffy,Helling,68,ghellinge@yahoo.com,Australia,1161,blue,Agender,3/24/1997,178.65,reading,fun,-33.7974423,151.2502275
Gwenette,Birtwhistle,40,gbirtwhistlef@nyu.edu,Australia,8383,red,Female,7/7/1988,192.17,hiking,fun,-37.8136276,144.9630576
Manny,Richemond,22,mrichemondg@independent.co.uk,Australia,7803,red,Male,2/19/1987,158.32,hiking,marriage,-42.8821377,147.3271949
Matty,Apted,32,maptedh@ucla.edu,Australia,1235,blue,Genderfluid,12/22/1998,191.89,reading,fun,-33.8688197,151.2092955
Carrol,Crosfield,18,ccrosfieldi@hubpages.com,Australia,6817,red,Male,3/22/1997,159.04,hiking,fun,-31.9505269,115.8604572
Elie,Snary,42,esnaryj@narod.ru,Australia,5839,blue,Female,4/4/1992,184.6,cooking,fun,-34.9284989,138.6007456
Reuven,Dugald,39,rdugaldk@utexas.edu,Australia,6817,red,Male,2/4/1992,155.13,traveling,marriage,-31.9505269,115.8604572
Magda,Byas,82,mbyasl@deliciousdays.com,Australia,1181,blue,Female,1/22/2000,162.44,reading,marriage,-33.7974423,151.2502275
Carling,Gadney,69,cgadneym@parallels.com,Australia,1424,green,Male,1/21/2005,151.82,hiking,marriage,-33.8882671,151.2078465
Jada,Mattek,21,jmattekn@soundcloud.com,Australia,1196,red,Female,3/22/1993,153.87,traveling,marriage,-33.7974423,151.2502275
Raul,Eingerfield,27,reingerfieldo@bigcartel.com,Australia,6843,blue,Male,12/10/2004,140.96,reading,fun,-31.9478653,115.8693718
Tiebout,Emilien,45,temilienp@soundcloud.com,Australia,1213,blue,Male,10/7/1993,173.31,cooking,marriage,-33.8651294,151.2078882
Savina,Pull,54,spullq@4shared.com,Australia,1120,green,Female,9/30/1996,157.47,reading,fun,-37.713929,144.962411
Gwenora,Castelin,56,gcastelinr@wordpress.com,Australia,1181,red,Female,5/13/2002,151.12,hiking,fun,-33.7974423,151.2502275
Darnall,Facher,28,dfachers@wordpress.com,Australia,7916,blue,Male,4/14/2002,166.34,traveling,fun,-41.4332215,147.1440875
Lorette,De Bischop,32,ldebischopt@printfriendly.com,Australia,1325,green,Female,6/27/2003,176.87,hiking,fun,-33.93274,151.188577
